Reference, Value, Footprint, Datasheet
P_OUT_1,CONN_2,Sockets_MOLEX_KK-System:Socket_MOLEX-KK-RM2-54mm_Lock_2pin_straight,
P_OUT_2,CONN_2,Sockets_MOLEX_KK-System:Socket_MOLEX-KK-RM2-54mm_Lock_2pin_straight,
P_OUT_3,CONN_2,Sockets_MOLEX_KK-System:Socket_MOLEX-KK-RM2-54mm_Lock_2pin_straight,
P_OUT_4,CONN_2,Sockets_MOLEX_KK-System:Socket_MOLEX-KK-RM2-54mm_Lock_2pin_straight,
K_M1,CONN_3,Sockets_MOLEX_KK-System:Socket_MOLEX-KK-RM2-54mm_Lock_3pin_straight,
K_M2,CONN_3,Sockets_MOLEX_KK-System:Socket_MOLEX-KK-RM2-54mm_Lock_3pin_straight,
K_M3,CONN_3,Sockets_MOLEX_KK-System:Socket_MOLEX-KK-RM2-54mm_Lock_3pin_straight,
K_M4,CONN_3,Sockets_MOLEX_KK-System:Socket_MOLEX-KK-RM2-54mm_Lock_3pin_straight,
P_IN_1,CONN_2,Sockets_MOLEX_KK-System:Socket_MOLEX-KK-RM2-54mm_Lock_2pin_straight,
P1,CONN_01X02,Sockets_MOLEX_KK-System:Socket_MOLEX-KK-RM2-54mm_Lock_2pin_straight,
P_1,CONN_01X02,Sockets_MOLEX_KK-System:Socket_MOLEX-KK-RM2-54mm_Lock_2pin_straight,
P2,CONN_01X02,Sockets_MOLEX_KK-System:Socket_MOLEX-KK-RM2-54mm_Lock_2pin_straight,
P_2,CONN_01X02,Sockets_MOLEX_KK-System:Socket_MOLEX-KK-RM2-54mm_Lock_2pin_straight,
P3,CONN_01X02,Sockets_MOLEX_KK-System:Socket_MOLEX-KK-RM2-54mm_Lock_2pin_straight,
P_3,CONN_01X02,Sockets_MOLEX_KK-System:Socket_MOLEX-KK-RM2-54mm_Lock_2pin_straight,
P4,CONN_01X02,Sockets_MOLEX_KK-System:Socket_MOLEX-KK-RM2-54mm_Lock_2pin_straight,
P_4,CONN_01X02,Sockets_MOLEX_KK-System:Socket_MOLEX-KK-RM2-54mm_Lock_2pin_straight,
K_1,CONN_3,Pin_Headers:Pin_Header_Straight_1x03,
K_2,CONN_3,Pin_Headers:Pin_Header_Straight_1x03,
R5,470 ohms,Resistors_ThroughHole:Resistor_Horizontal_RM15mm,
D_RPI_1,LED,LEDs:LED-5MM,
P6,CONN_4,Pin_Headers:Pin_Header_Straight_1x04,
U2,MCP3008,Housings_DIP:DIP-16_W7.62mm,
U1,ULN2003,Housings_DIP:DIP-16_W7.62mm,
U13,4N33,Housings_DIP:DIP-6_W7.62mm,
U14,4N33,Housings_DIP:DIP-6_W7.62mm,
U11,4N33,Housings_DIP:DIP-6_W7.62mm,
U12,4N33,Housings_DIP:DIP-6_W7.62mm,
R14,10ko,Resistors_ThroughHole:Resistor_Horizontal_RM15mm,
R13,10ko,Resistors_ThroughHole:Resistor_Horizontal_RM15mm,
R12,10ko,Resistors_ThroughHole:Resistor_Horizontal_RM15mm,
R11,10ko,Resistors_ThroughHole:Resistor_Horizontal_RM15mm,
Q3,TIP122,TO_SOT_Packages_THT:TO-220_Neutral123_Vertical,
Q4,TIP122,TO_SOT_Packages_THT:TO-220_Neutral123_Vertical,
Q2,TIP122,TO_SOT_Packages_THT:TO-220_Neutral123_Vertical,
Q1,TIP122,TO_SOT_Packages_THT:TO-220_Neutral123_Vertical,
D1,D,Diodes_ThroughHole:Diode_DO-41_SOD81_Horizontal_RM10,
D2,D,Diodes_ThroughHole:Diode_DO-41_SOD81_Horizontal_RM10,
D3,D,Diodes_ThroughHole:Diode_DO-41_SOD81_Horizontal_RM10,
D4,D,Diodes_ThroughHole:Diode_DO-41_SOD81_Horizontal_RM10,
P_A1,CONN_01X06,Pin_Headers:Pin_Header_Straight_1x06,
R_3_1,220,Resistors_ThroughHole:Resistor_Horizontal_RM15mm,
R_3_2,220,Resistors_ThroughHole:Resistor_Horizontal_RM15mm,
R_3_3,220,Resistors_ThroughHole:Resistor_Horizontal_RM15mm,
R_3_4,220,Resistors_ThroughHole:Resistor_Horizontal_RM15mm,
R_1_1,1ko,Resistors_ThroughHole:Resistor_Horizontal_RM15mm,
R_1_2,1ko,Resistors_ThroughHole:Resistor_Horizontal_RM15mm,
R_1_3,1ko,Resistors_ThroughHole:Resistor_Horizontal_RM15mm,
R_1_4,1ko,Resistors_ThroughHole:Resistor_Horizontal_RM15mm,
R_2_1,220,Resistors_ThroughHole:Resistor_Horizontal_RM15mm,
R_2_2,220,Resistors_ThroughHole:Resistor_Horizontal_RM15mm,
R_2_3,220,Resistors_ThroughHole:Resistor_Horizontal_RM15mm,
R_2_4,220,Resistors_ThroughHole:Resistor_Horizontal_RM15mm,
P5_2,C3,Sockets_MOLEX_KK-System:Socket_MOLEX-KK-RM2-54mm_Lock_3pin_straight,
J1,RPi_GPIO,Pin_Headers:Pin_Header_Straight_2x20,
P11,CONN_01X04,Pin_Headers:Pin_Header_Straight_1x04,
P_Alim1,ALIM,Pin_Headers:Pin_Header_Straight_1x02,
P5_1,C3,Sockets_MOLEX_KK-System:Socket_MOLEX-KK-RM2-54mm_Lock_3pin_straight,
K5,RELAY_2RT,f_r_relays:relay_2rt,
K4,RELAY_2RT,f_r_relays:relay_2rt,
K3,RELAY_2RT,f_r_relays:relay_2rt,
K2,RELAY_2RT,f_r_relays:relay_2rt,
K1,RELAY_2RT,f_r_relays:relay_2rt,
